comparison_id,method,method_version,dataset_id,tier,observation_fraction,algorithm_seed,repeat,timeout_seconds,hardware
baseline-hamming-1nn-rb-248ca2bd6fb2f7b1aa8207c3,hamming-1nn,1,rb-248ca2bd6fb2f7b1aa8207c3,n=6,0.03,880f9706439dc76fe9209276f3f7102e8a46f3cc55bfd21c5023240a982ac739,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-24bbea5e3db7ab3e28efdb86,hamming-1nn,1,rb-24bbea5e3db7ab3e28efdb86,n=10,0.03,976813a2f8a878c901fec4b992cfade93ac392a35d16a7f9da1075fcb27ba5a0,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-25f398b37a055417dc70658c,hamming-1nn,1,rb-25f398b37a055417dc70658c,n=6,0.03,67c6b55da78fc409d526e6271eadf17eb842f38a768c7bc1f78a66a08796c2c0,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-2722adec8ee89de1f5c7031d,hamming-1nn,1,rb-2722adec8ee89de1f5c7031d,n=10,0.03,ab1bd1e28ae7dcfeafc84b076bf6495877f531ac92b1ac16fa3a22a40fe75d79,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-27735c4093013a8e883f18c7,hamming-1nn,1,rb-27735c4093013a8e883f18c7,n=10,0.10,01ec5792a8685536fb9a2d0b93bc9647d52ac682dab0d5b7641167306cd5e2fe,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-2b69459c6c580d992d8390d6,hamming-1nn,1,rb-2b69459c6c580d992d8390d6,n=8,0.03,812e44da98d91332fa04ed42ddd3c90469845c6ceb866b9e716c19a6ba7c7be1,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-2c379dd8780237cd75d45116,hamming-1nn,1,rb-2c379dd8780237cd75d45116,n=10,0.03,d2bba70942bc9abc8d367a4da83fc44356059569920ad6a0591de50406cd880d,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-2d07e7bc58d6be2d0a700776,hamming-1nn,1,rb-2d07e7bc58d6be2d0a700776,n=10,0.10,dad4ffc01c5919e7458242ba5b4caed82c7d5dcf23cc12a7da74fa0a420889b0,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-2dc59903e98cc8f52bbfe6a9,hamming-1nn,1,rb-2dc59903e98cc8f52bbfe6a9,n=6,0.10,c55facc880289cfaa9771f813c3a62cf483f867dd46cb9ab550e3bc29df7846b,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-2f75f8de4356c0bbaa183c7f,hamming-1nn,1,rb-2f75f8de4356c0bbaa183c7f,n=8,0.03,df4ace9896cfab2c35580ed7313a740d00d54abdf79af0aa8682cbf4dd4b981d,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-30a8038e047365edb4e04fcf,hamming-1nn,1,rb-30a8038e047365edb4e04fcf,n=8,0.10,e242782e99f8bf8fc0d2a4344ac47d41fd56c153ec9bb3eceee2c03fd04eeb23,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-3170fd0f1daa615f07901d79,hamming-1nn,1,rb-3170fd0f1daa615f07901d79,n=8,0.10,fdd976909d609dad916505aa9d1f893cd341172c0eb6c770aecdd64cdba63f52,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-33c2d056652ee6d519e1d786,hamming-1nn,1,rb-33c2d056652ee6d519e1d786,n=10,0.10,f70eb8ac6f76b6ae08d67a1546ecea8a4dee9620f221b57434c8b578fdf993ca,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-3476889ee42e473a00c9f904,hamming-1nn,1,rb-3476889ee42e473a00c9f904,n=10,0.03,9a4fa2318b91351cc228f48433d9fba621fbe411d34892c95ed3e883abb96e81,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-34d43726af1d8975f6013896,hamming-1nn,1,rb-34d43726af1d8975f6013896,n=6,0.03,9d8207adeab4303f9b24deed23d1e15ec28d5a8c706de2237d301492603146d2,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-36c3868d223c044d5460a097,hamming-1nn,1,rb-36c3868d223c044d5460a097,n=10,0.10,c7587d7b6a123b32b73ea6cd7ba926649d09231fe58027e9077a7af1cb4478f0,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-3742b483d23d4d9ada24d7a9,hamming-1nn,1,rb-3742b483d23d4d9ada24d7a9,n=8,0.03,2758008a7475a9bf65e5dabcd1afa37b45925ca50c7557c1f1e139694f208524,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-3ad2e57491a27f922575c669,hamming-1nn,1,rb-3ad2e57491a27f922575c669,n=10,0.03,300a7fdd7b5a1ee0204359ced60690817a583d9e1d877a28c8cccb8f420055b4,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-3c7396616b7689836c09a80f,hamming-1nn,1,rb-3c7396616b7689836c09a80f,n=10,0.10,08f575038497dae889d86790ef3b8dfe8e021e065a79058c7146544ce455cf4f,0,300,local-darwin-arm64-rust-1.93.0
